;Gloss;Examples
1.;"「ああいう〜」 {ああ言う〜 51} [""such __""]";1593-45
2.;"「AばBほど」 {AばB程* 588} [""the more A, the more B""]";"143-3; 588-8; 934-17"
3.;"「あえて〜」 {敢えて〜* 809} [""dare to __"", ""venture to __""]";"809-2; 809-9; 1191-26"
4.;"「〜あげく(に)」 {〜挙げ句に* / 〜揚げ句に* 1247, 166} [""after much __ing""]";"1144-31; 1589-10"
5.;"「あげる」 {上げる* 41} [""give (to someone)""]";"3-2; 29-7"
6.;"「〜あいだに」 {〜間に 448} [""while __""]";"4-3; 10-2; 75-9"
7.;"「あくまで(も)」 {飽くまで(も)* / 飽く迄(も)** 1964, 1806} [""to the last""]";1971-20
8.;"「〜あまり」 {〜余り 995} [""on account of too much __""]";"941-12; 1237-9; 1597-8; 1990-7"
9.;"「あまり〜ない / あんまり〜ない」 {余り〜ない 995} [""not very (much) __""]";"76-3; 114-8; 226-3; 274-17; 383-31"
10.;"「あまりに(も)〜 / あんまりに(も)〜」 {余りに(も)〜 995} [""too __""]";"217-3; 302-6"
11.;"「あなた」 {貴方 1177, 173} [formal: ""you""]";"21-3; 46-8; 232-6"
12.;"「AのはBのことだ」 {AのはBの事だ* 80} [time of occurrence: ""It was/will be B when A""]";1737-5
13.;"「〜ありますか」 {〜有りますか* 400} [""is/are there any __?""; ""do you have any __?""]";1-5
14.;"「ある」 {有る 400} [""exist""; ""have""]";"1-5; 2-3; 3-4; 3-7"
15.;"「あるいは」 {或は* 1152} [""or""]";"454-6; 976-26; 1152-2"
16.;"「あたかも〜」 [""as if __""]";"1525-44; 1803-8; 1877-13"
17.;"「〜あと」 {〜後 114} [""after __""].";"114-11; 138-2"
18.;"「あと〜」 {後〜 114} [""__ left"", ""__ longer"", ""__ until""].";"1-4; 1-7"
19.;"「〜ということは」 {〜と言うことは* / 〜と言う事は** 51, 80} [presents preceding clause as the subject of the sentence: ""that __""]";"649-19; 653-27; 1118-10; 1518-12; 1554-10"
20.;"「わあ」 [female: exclamation]";2015-4
21.;"「AはBだ」 [""A is B""]";"3-5; 4-5; 5-4; 7-5; 8-3; 8-7; 9-3; 9-8"
22.;"「-ば」 [""if __""]";"58-4; 91-5; 91-9"
23.;"「〜ばかり」 [""just __""]";"134-2; 179-14; 269-10; 553-9"
24.;"「〜ばかりか」 [""not just __""].";"1062-21; 1497-4"
25.;"「-ばよかった」 {-ば良かった* 285} [""should have __ed""; ""wish had __ed""]";"143-8; 148-7; 274-8"
26.;"「〜べからず / 〜べからざる」 [""do not __""]";"1153-13; 1273-5"
27.;"「〜べきだ」 [""should  __""; ""must  __""]";"79-6; 159-10; 189-4"
28.;"「〜べく」 [""in order to __""; ""so that __""]";"1223-17; 1481-21; 1605-17"
29.;"「〜べくもない」 [""there is no way to __""]";2222-9
30.;"「ぼく」 {僕 1358} [informal: ""I""]";"15-17; 17-4; 40-2"
31.;"「-ぶん」 {-分 88} [portion]";88-8
32.;"「-ぶり」 {-振り* 903} [""for the first time in __""]";"6-2; 904-3"
33.;"「-ちゃ」 [colloquial contraction of -ては: links a verb with a negative statement]";1160-10
34.;"「-ちゃう」 [colloquial contraction of -てしまう: ""do (something regrettable)""; ""finish __ing""]";"529-18; 1941-6"
35.;"「ちなみに〜」 {因みに〜** 1725} [""incidentally __""]";632-24
36.;"「ちっとも〜ない」 {些とも〜ない* 1789} [""no __ whatsoever""]";"942-28; 2050-13"
37.;"「Compound verbs」";"59-2; 64-7; 67-6"
38.;"「Counters」";"2-1; 3-2"
39.;"「だが」 [""but""]";106-7
40.;"「だい」 [male alternative to か]";1332-4
41.;"「だから」 [""so"", ""that’s why""; ""since"", ""because""]";"43-4; 86-20; 87-6"
42.;"「だからといって〜」 {だからと言って〜 51} [""but it doesn’t follow that __""]";2225-11
43.;"「〜だけ」 [""just __""]";"15-7; 19-4; 51-6; 65-11; 95-9"
44.;"「〜だけで」 [""just by __ing""]";"850-21; 981-24; 1260-32"
45.;"「〜だけで(は)なく / 〜だけじゃなくて」 [""not just __""]";"418-4; 983-14; 1101-21"
46.;"「だけど」 [""but""]";"231-3; 258-5; 280-17"
47.;"「〜だけのことはある」 {〜だけの事はある* 80} [""not __ for nothing""]";1462-14
